chr	pos	sample	meth_prop	cov
chr7	3000113	nsc_1_mat	NA	0
chr7	3000113	nsc_1_pat	NA	0
chr7	3000113	nsc_2_mat	NA	0
chr7	3000113	nsc_2_pat	NA	0
chr7	3000113	nsc_3_mat	NA	0
chr7	3000113	nsc_3_pat	0	1
chr7	3000225	nsc_1_mat	1	1
chr7	3000225	nsc_1_pat	NA	0
chr7	3000225	nsc_2_mat	0.5	2
chr7	3000225	nsc_2_pat	NA	0
chr7	3000225	nsc_3_mat	0.6666666666666666	3
chr7	3000225	nsc_3_pat	1	1
chr7	3000236	nsc_1_mat	NA	0
chr7	3000236	nsc_1_pat	NA	0
chr7	3000236	nsc_2_mat	NA	0
chr7	3000236	nsc_2_pat	NA	0
chr7	3000236	nsc_3_mat	NA	0
chr7	3000236	nsc_3_pat	0	1
chr7	3000240	nsc_1_mat	1	1
chr7	3000240	nsc_1_pat	NA	0
chr7	3000240	nsc_2_mat	1	2
chr7	3000240	nsc_2_pat	NA	0
chr7	3000240	nsc_3_mat	1	4
chr7	3000240	nsc_3_pat	1	1
chr7	3000263	nsc_1_mat	NA	0
chr7	3000263	nsc_1_pat	NA	0
chr7	3000263	nsc_2_mat	1	2
chr7	3000263	nsc_2_pat	NA	0
chr7	3000263	nsc_3_mat	0.5	4
chr7	3000263	nsc_3_pat	NA	0
chr7	3000303	nsc_1_mat	0	1
chr7	3000303	nsc_1_pat	NA	0
chr7	3000303	nsc_2_mat	0.5	2
chr7	3000303	nsc_2_pat	NA	0
chr7	3000303	nsc_3_mat	0.75	4
chr7	3000303	nsc_3_pat	NA	0
chr7	3000372	nsc_1_mat	NA	0
chr7	3000372	nsc_1_pat	NA	0
chr7	3000372	nsc_2_mat	NA	0
chr7	3000372	nsc_2_pat	NA	0
chr7	3000372	nsc_3_mat	NA	0
chr7	3000372	nsc_3_pat	0	1
chr7	3000433	nsc_1_mat	1	1
chr7	3000433	nsc_1_pat	NA	0
chr7	3000433	nsc_2_mat	1	2
chr7	3000433	nsc_2_pat	NA	0
chr7	3000433	nsc_3_mat	1	4
chr7	3000433	nsc_3_pat	NA	0
chr7	3000455	nsc_1_mat	1	1
chr7	3000455	nsc_1_pat	NA	0
chr7	3000455	nsc_2_mat	1	2
chr7	3000455	nsc_2_pat	NA	0
chr7	3000455	nsc_3_mat	1	3
chr7	3000455	nsc_3_pat	1	1
chr7	3000575	nsc_1_mat	NA	0
chr7	3000575	nsc_1_pat	NA	0
chr7	3000575	nsc_2_mat	NA	0
chr7	3000575	nsc_2_pat	NA	0
chr7	3000575	nsc_3_mat	NA	0
chr7	3000575	nsc_3_pat	1	1
chr7	3000578	nsc_1_mat	NA	0
chr7	3000578	nsc_1_pat	NA	0
chr7	3000578	nsc_2_mat	NA	0
chr7	3000578	nsc_2_pat	NA	0
chr7	3000578	nsc_3_mat	NA	0
chr7	3000578	nsc_3_pat	1	1
chr7	3000752	nsc_1_mat	NA	0
chr7	3000752	nsc_1_pat	NA	0
chr7	3000752	nsc_2_mat	NA	0
chr7	3000752	nsc_2_pat	NA	0
chr7	3000752	nsc_3_mat	NA	0
chr7	3000752	nsc_3_pat	0	1
chr7	3000782	nsc_1_mat	1	1
chr7	3000782	nsc_1_pat	NA	0
chr7	3000782	nsc_2_mat	1	2
chr7	3000782	nsc_2_pat	NA	0
chr7	3000782	nsc_3_mat	0.75	4
chr7	3000782	nsc_3_pat	1	1
chr7	3000826	nsc_1_mat	NA	0
chr7	3000826	nsc_1_pat	NA	0
chr7	3000826	nsc_2_mat	NA	0
chr7	3000826	nsc_2_pat	NA	0
chr7	3000826	nsc_3_mat	NA	0
chr7	3000826	nsc_3_pat	1	1
chr7	3000856	nsc_1_mat	1	1
chr7	3000856	nsc_1_pat	NA	0
chr7	3000856	nsc_2_mat	1	2
chr7	3000856	nsc_2_pat	NA	0
chr7	3000856	nsc_3_mat	1	3
chr7	3000856	nsc_3_pat	1	1
chr7	3001048	nsc_1_mat	NA	0
chr7	3001048	nsc_1_pat	NA	0
chr7	3001048	nsc_2_mat	NA	0
chr7	3001048	nsc_2_pat	NA	0
chr7	3001048	nsc_3_mat	NA	0
chr7	3001048	nsc_3_pat	1	1
chr7	3001162	nsc_1_mat	1	1
chr7	3001162	nsc_1_pat	NA	0
chr7	3001162	nsc_2_mat	1	2
chr7	3001162	nsc_2_pat	NA	0
chr7	3001162	nsc_3_mat	1	3
chr7	3001162	nsc_3_pat	1	2
chr7	3001220	nsc_1_mat	1	1
chr7	3001220	nsc_1_pat	NA	0
chr7	3001220	nsc_2_mat	1	2
chr7	3001220	nsc_2_pat	NA	0
chr7	3001220	nsc_3_mat	1	3
chr7	3001220	nsc_3_pat	1	2
chr7	3001248	nsc_1_mat	1	1
chr7	3001248	nsc_1_pat	NA	0
chr7	3001248	nsc_2_mat	1	2
chr7	3001248	nsc_2_pat	NA	0
chr7	3001248	nsc_3_mat	1	4
chr7	3001248	nsc_3_pat	1	2
chr7	3001273	nsc_1_mat	NA	0
chr7	3001273	nsc_1_pat	NA	0
chr7	3001273	nsc_2_mat	NA	0
chr7	3001273	nsc_2_pat	NA	0
chr7	3001273	nsc_3_mat	NA	0
chr7	3001273	nsc_3_pat	1	1
chr7	3001286	nsc_1_mat	1	1
chr7	3001286	nsc_1_pat	NA	0
chr7	3001286	nsc_2_mat	1	2
chr7	3001286	nsc_2_pat	NA	0
chr7	3001286	nsc_3_mat	1	4
chr7	3001286	nsc_3_pat	1	1
chr7	3001319	nsc_1_mat	0	1
chr7	3001319	nsc_1_pat	NA	0
chr7	3001319	nsc_2_mat	0.5	2
chr7	3001319	nsc_2_pat	NA	0
chr7	3001319	nsc_3_mat	0.25	4
chr7	3001319	nsc_3_pat	1	1
chr7	3001323	nsc_1_mat	NA	0
chr7	3001323	nsc_1_pat	NA	0
chr7	3001323	nsc_2_mat	NA	0
chr7	3001323	nsc_2_pat	NA	0
chr7	3001323	nsc_3_mat	NA	0
chr7	3001323	nsc_3_pat	1	1
chr7	3001358	nsc_1_mat	1	1
chr7	3001358	nsc_1_pat	NA	0
chr7	3001358	nsc_2_mat	1	2
chr7	3001358	nsc_2_pat	NA	0
chr7	3001358	nsc_3_mat	1	3
chr7	3001358	nsc_3_pat	1	2
chr7	3001360	nsc_1_mat	1	1
chr7	3001360	nsc_1_pat	NA	0
chr7	3001360	nsc_2_mat	1	2
chr7	3001360	nsc_2_pat	NA	0
chr7	3001360	nsc_3_mat	1	4
chr7	3001360	nsc_3_pat	1	1
chr7	3001367	nsc_1_mat	0	1
chr7	3001367	nsc_1_pat	NA	0
chr7	3001367	nsc_2_mat	1	2
chr7	3001367	nsc_2_pat	NA	0
chr7	3001367	nsc_3_mat	1	4
chr7	3001367	nsc_3_pat	1	1
chr7	3001386	nsc_1_mat	1	1
chr7	3001386	nsc_1_pat	NA	0
chr7	3001386	nsc_2_mat	1	2
chr7	3001386	nsc_2_pat	NA	0
chr7	3001386	nsc_3_mat	0.75	4
chr7	3001386	nsc_3_pat	1	1
chr7	3001448	nsc_1_mat	1	1
chr7	3001448	nsc_1_pat	NA	0
chr7	3001448	nsc_2_mat	1	2
chr7	3001448	nsc_2_pat	NA	0
chr7	3001448	nsc_3_mat	0.75	4
chr7	3001448	nsc_3_pat	1	1
chr7	3001473	nsc_1_mat	NA	0
chr7	3001473	nsc_1_pat	NA	0
chr7	3001473	nsc_2_mat	NA	0
chr7	3001473	nsc_2_pat	NA	0
chr7	3001473	nsc_3_mat	NA	0
chr7	3001473	nsc_3_pat	0	1
chr7	3001487	nsc_1_mat	1	1
chr7	3001487	nsc_1_pat	NA	0
chr7	3001487	nsc_2_mat	1	1
chr7	3001487	nsc_2_pat	NA	0
chr7	3001487	nsc_3_mat	1	3
chr7	3001487	nsc_3_pat	1	1
chr7	3001493	nsc_1_mat	NA	0
chr7	3001493	nsc_1_pat	NA	0
chr7	3001493	nsc_2_mat	NA	0
chr7	3001493	nsc_2_pat	NA	0
chr7	3001493	nsc_3_mat	1	1
chr7	3001493	nsc_3_pat	NA	0
chr7	3001504	nsc_1_mat	1	1
chr7	3001504	nsc_1_pat	NA	0
chr7	3001504	nsc_2_mat	0.5	2
chr7	3001504	nsc_2_pat	NA	0
chr7	3001504	nsc_3_mat	1	3
chr7	3001504	nsc_3_pat	1	1
chr7	3001519	nsc_1_mat	1	1
chr7	3001519	nsc_1_pat	NA	0
chr7	3001519	nsc_2_mat	1	2
chr7	3001519	nsc_2_pat	NA	0
chr7	3001519	nsc_3_mat	1	4
chr7	3001519	nsc_3_pat	1	1
chr7	3001525	nsc_1_mat	1	1
chr7	3001525	nsc_1_pat	NA	0
chr7	3001525	nsc_2_mat	1	2
chr7	3001525	nsc_2_pat	NA	0
chr7	3001525	nsc_3_mat	1	3
chr7	3001525	nsc_3_pat	0.5	2
chr7	3001588	nsc_1_mat	1	1
chr7	3001588	nsc_1_pat	NA	0
chr7	3001588	nsc_2_mat	0.5	2
chr7	3001588	nsc_2_pat	NA	0
chr7	3001588	nsc_3_mat	1	3
chr7	3001588	nsc_3_pat	1	1
chr7	3001591	nsc_1_mat	1	1
chr7	3001591	nsc_1_pat	NA	0
chr7	3001591	nsc_2_mat	1	1
chr7	3001591	nsc_2_pat	NA	0
chr7	3001591	nsc_3_mat	1	3
chr7	3001591	nsc_3_pat	1	2
chr7	3001595	nsc_1_mat	1	1
chr7	3001595	nsc_1_pat	NA	0
chr7	3001595	nsc_2_mat	1	2
chr7	3001595	nsc_2_pat	NA	0
chr7	3001595	nsc_3_mat	1	3
chr7	3001595	nsc_3_pat	0.5	2
chr7	3001683	nsc_1_mat	NA	0
chr7	3001683	nsc_1_pat	NA	0
chr7	3001683	nsc_2_mat	NA	0
chr7	3001683	nsc_2_pat	NA	0
chr7	3001683	nsc_3_mat	NA	0
chr7	3001683	nsc_3_pat	1	1
chr7	3001716	nsc_1_mat	1	1
chr7	3001716	nsc_1_pat	NA	0
chr7	3001716	nsc_2_mat	1	2
chr7	3001716	nsc_2_pat	NA	0
chr7	3001716	nsc_3_mat	0.3333333333333333	3
chr7	3001716	nsc_3_pat	1	1
chr7	3001794	nsc_1_mat	NA	0
chr7	3001794	nsc_1_pat	NA	0
chr7	3001794	nsc_2_mat	NA	0
chr7	3001794	nsc_2_pat	NA	0
chr7	3001794	nsc_3_mat	NA	0
